"","V1"
"1",9
"2",2
"3",2
"4",7
"5",7
"6",7
"7",6
"8",8
"9",6
"10",8
"11",7
"12",2
"13",3
"14",3
"15",6
"16",6
"17",6
"18",3
"19",6
"20",6
"21",6
"22",5
"23",5
"24",5
"25",7
"26",2
"27",2
"28",2
"29",9
"30",4
"31",4
"32",6
"33",6
"34",6
"35",5
"36",4
"37",5
"38",5
"39",5
"40",2
"41",1
"42",2
"43",9
"44",7
"45",4
"46",4
"47",8
"48",4
"49",4
"50",4
"51",3
"52",4
"53",5
"54",6
"55",6
"56",6
"57",8
"58",8
"59",4
"60",4
"61",7
"62",8
"63",8
"64",8
"65",4
"66",4
"67",8
"68",8
"69",8
"70",4
"71",4
"72",3
"73",3
"74",9
"75",9
"76",9
"77",3
"78",2
"79",2
"80",2
"81",4
"82",1
"83",1
"84",1
"85",1
"86",1
"87",3
"88",2
"89",2
"90",7
"91",4
"92",5
"93",5
"94",5
"95",1
"96",4
"97",1
"98",4
"99",4
"100",4
"101",4
"102",4
"103",8
"104",3
"105",3
"106",2
"107",4
"108",4
"109",4
"110",7
"111",6
"112",6
"113",7
"114",4
"115",4
"116",5
"117",5
"118",5
"119",3
"120",2
"121",2
"122",8
"123",5
"124",2
"125",5
"126",6
"127",3
"128",3
"129",7
"130",7
"131",7
"132",2
"133",2
"134",2
"135",4
"136",2
"137",7
"138",1
"139",1
"140",5
"141",5
"142",5
"143",4
"144",4
"145",3
"146",1
"147",3
"148",5
"149",7
"150",7
"151",2
"152",7
"153",7
"154",5
"155",1
"156",7
"157",7
"158",8
"159",2
"160",4
"161",2
"162",4
"163",5
"164",5
"165",5
"166",2
"167",2
"168",4
"169",4
"170",4
"171",4
"172",3
"173",5
"174",6
"175",6
"176",1
"177",2
"178",7
"179",3
"180",6
"181",3
"182",6
"183",7
"184",2
"185",5
"186",5
"187",5
"188",8
"189",8
"190",2
"191",7
"192",4
"193",4
"194",5
"195",9
"196",2
"197",2
"198",2
"199",2
"200",2
"201",5
"202",5
"203",5
"204",9
"205",9
"206",9
"207",5
"208",4
"209",4
"210",4
"211",4
"212",4
"213",5
"214",5
"215",5
"216",6
"217",4
"218",7
"219",7
"220",5
"221",1
"222",1
"223",6
"224",6
"225",6
"226",8
"227",5
"228",5
"229",5
"230",7
"231",2
"232",5
"233",5
"234",5
"235",4
"236",5
"237",5
"238",5
"239",6
"240",2
"241",5
"242",5
"243",4
"244",1
"245",6
"246",6
"247",2
"248",4
"249",2
"250",2
"251",2
"252",7
"253",6
"254",2
"255",2
